CustomerID,FirstName,LastName,Gender,Age,Email,Phone,City,State,Country,SignupDate,LastPurchaseDate,TotalPurchases,TotalSpent
1,Latoya,Parker,Other,66,latoya.parker@yahoo.com,001-135-311-7826x535,South Jason,Michigan,Chile,2022-04-19,2023-02-01,25,4187.14
2,James,Booker,Other,43,james.booker@yahoo.com,+1-818-497-2274x98226,West Debra,Nevada,Christmas Island,2024-09-27,2025-08-09,1,2133.55
3,Dan,Stokes,Other,63,dan.stokes@hotmail.com,911-711-8294x675,Torresfurt,North Carolina,Iceland,2021-01-28,2021-04-10,8,1349.08
4,Christina,Miller,Female,59,christina.miller@hotmail.com,798-396-9130x763,West Lorimouth,Ohio,Philippines,2021-01-08,2022-11-26,45,2524.24
5,Mark,Phillips,Male,43,mark.phillips@hotmail.com,+1-356-977-6340,Williamville,Texas,Nicaragua,2024-08-01,2025-04-12,15,2070.24
6,Amy,Nielsen,Other,42,amy.nielsen@gmail.com,(683)767-2219x106,West Jeremystad,Delaware,Cook Islands,2025-05-16,2025-07-11,33,2925.37
7,Caitlyn,Lawrence,Male,56,caitlyn.lawrence@hotmail.com,668-216-8943x28999,Dawnfort,Iowa,Taiwan,2024-06-23,2025-07-17,22,2570.65
8,Katherine,Garcia,Female,61,katherine.garcia@hotmail.com,128.494.2433x38723,Kempmouth,Indiana,France,2021-11-22,2024-08-24,40,4737.34
9,Michael,White,Female,36,michael.white@yahoo.com,156.552.1375,South Williamhaven,Mississippi,Russian Federation,2021-11-27,2025-02-15,4,965.03
10,Natalie,Robinson,Female,27,natalie.robinson@yahoo.com,724.393.9400x610,Lake Oscar,Mississippi,France,2021-09-18,2025-05-07,43,4855.76
11,Raymond,Gonzales,Male,61,raymond.gonzales@hotmail.com,(620)595-6766x95953,Sydneyside,Arizona,Cayman Islands,2021-07-17,2021-08-09,44,1468.78
12,Kendra,Rice,Male,45,kendra.rice@gmail.com,641-574-4002,Danielton,Pennsylvania,Saudi Arabia,2020-11-12,2024-08-03,24,1652.57
13,Johnny,Ward,Male,68,johnny.ward@hotmail.com,904-942-3439,Port Kenneth,Missouri,Isle of Man,2022-12-25,2023-02-14,32,4500.1
14,Timothy,Mack,Female,31,timothy.mack@yahoo.com,8374338416,Lisaborough,Louisiana,Denmark,2024-10-29,2025-01-05,33,1652.82
15,Joseph,Higgins,Male,66,joseph.higgins@yahoo.com,001-885-263-0697,Fieldsborough,Nevada,Japan,2025-07-24,2025-07-31,45,286.81
16,Juan,Sanders,Female,51,juan.sanders@hotmail.com,+1-516-811-2274,Charlesstad,Virginia,Saint Vincent and the Grenadines,2023-12-06,2025-02-15,2,3224.7
17,Mary,Maxwell,Other,43,mary.maxwell@yahoo.com,070.138.0557,East Alyssa,Wyoming,Lithuania,2022-09-28,2023-06-28,1,3658.62
18,Troy,Mcneil,Female,53,troy.mcneil@gmail.com,5178323173,East Melanie,Michigan,Namibia,2022-11-03,2024-07-07,42,4737.44
19,Michael,Johnson,Female,21,michael.johnson@gmail.com,(614)411-3090x9753,New Stephaniechester,Alaska,Singapore,2020-10-29,2024-11-10,5,1898.4
20,Robert,Turner,Other,66,robert.turner@yahoo.com,(811)278-8203,Alexanderside,West Virginia,Sweden,2021-01-13,2021-07-11,26,668.98
21,Lynn,Huff,Other,68,lynn.huff@gmail.com,220.165.4162,East Sarahfurt,North Dakota,Greenland,2022-07-30,2024-07-11,39,3353.28
22,Charlotte,Beltran,Other,29,charlotte.beltran@gmail.com,3368746733,Lopezfurt,Massachusetts,Bermuda,2022-08-13,2023-02-11,11,785.88
23,Samantha,Bennett,Female,54,samantha.bennett@hotmail.com,(336)341-2661x20276,Port Kevin,Texas,Cambodia,2022-04-22,2023-04-17,21,3152.36
24,Amanda,Weber,Female,70,amanda.weber@gmail.com,9870080652,North Michelle,Michigan,Micronesia,2022-12-24,2025-03-12,26,4261.06
25,Christy,Hernandez,Male,43,christy.hernandez@gmail.com,886-894-7245,Tiffanyburgh,Montana,Cayman Islands,2024-06-05,2025-04-01,21,3962.83
26,Abigail,Mitchell,Other,63,abigail.mitchell@hotmail.com,(479)559-3080,South Patrickfort,Wyoming,Lithuania,2021-03-21,2022-10-17,29,4820.03
