Name,Marks,GPA
Naveen Gowda,91,8.157142857142857
Kumar Nagesh,87,8.514285714285714
Mohan Reddy,72,7.2857142857142865
Krishna Nair,85,8.242857142857144
Kumar Acharya,67,7.2285714285714295
Vijay Nair,85,8.27142857142857
Keerthi Namboothiri,73,7.514285714285714
Sreeja Sharma,96,8.2
Nandhini Pillai,77,8.32857142857143
Hema Nagesh,90,8.214285714285714
Divya Joshi,81,7.871428571428571
Jyothi Nair,61,8.142857142857142
Karthik Joshi,89,7.2857142857142865
Sanjay Reddy,65,7.128571428571429
Revathi Joshi,80,8.985714285714286
Lakshmi Iyer,76,8.642857142857142
Ajay Rangaswamy,84,8.5
Rahul Bhattacharya,79,8.2
Anu Venkatesh,79,8.6
Lakshmi Chowdary,97,8.428571428571429
Suresh Shetty,75,8.428571428571429
Sangeetha Bhattacharya,74,8.6
Krishna Murthy,69,7.742857142857143
Pooja Venkatesh,74,7.628571428571429
Devi Kumar,72,8.085714285714285
Keerthi Srinivas,85,8.2
Anu Rao,79,8.442857142857143
Swathi Gowda,74,7.628571428571429
Rahul Joshi,79,7.628571428571429
Bhavani Venkatesh,95,9.214285714285714
Ajay Reddy,89,7.742857142857143
Prakash Srinivas,74,7.757142857142857
Hari Kumar,66,7.614285714285714
Pooja Naidu,85,8.17142857142857
Prakash Kumar,78,7.814285714285714
Krishna Kumar,78,7.442857142857143
Lakshya Kumar,89,8.157142857142857
Anil Rao,99,8.657142857142857
Sneha Murthy,75,8.157142857142857
Sangeetha Murthy,84,7.928571428571429
Bhavani Srinivas,70,7.3
Sneha Venkatesh,84,8.27142857142857
Santosh Rangaswamy,99,8.571428571428571
Hari Acharya,61,7.842857142857143
Deepak Kumar,83,7.685714285714286
Meena Menon,91,7.671428571428571
Divya Pillai,72,8.028571428571428
Naveen Pillai,89,7.828571428571429
Pooja Menon,95,8.571428571428571
Devi Rangaswamy,87,7.257142857142857
Bhavani Nair,83,7.928571428571429
Harini Kumar,72,8.457142857142857
Swathi Pillai,84,7.1
Ganesh Kumar,83,8.3
Santosh Kumar,85,7.971428571428571
Divya Venkatesh,63,8.37142857142857
Jyothi Shetty,97,8.72857142857143
Raghav Kumar,95,7.914285714285714
Divya Sundaram,65,7.642857142857143
