Student ID,Name,Fee Type,Amount Due,Due Date
TUEC1014,Karthik Sharma,Transport,15000,2025-10-01
TUEC1035,Vijay Srinivas,Transport,15000,2025-10-01
TUEC2014,Ramya Nair,Tuition,90000,2025-10-01
TUEC2015,Naveen Acharya,Tuition,90000,2025-10-01
TUEC2038,Anil Kumar,Tuition,90000,2025-10-01
TUEC2041,Vijay Sharma,Tuition,90000,2025-10-01
TUEC2044,Santosh Gowda,Tuition,90000,2025-10-01
TUEC3011,Varun Iyer,Tuition,90000,2025-10-01
TUEC3022,Mohit Kapoor,Tuition,90000,2025-10-01
TUEC3028,Suraj Yadav,Tuition,90000,2025-10-01
TUEC3031,Varun Tiwari,Tuition,90000,2025-10-01
TUEC3036,Amit Mishra,Tuition,90000,2025-10-01
TUEC3050,Aditi Verma,Tuition,90000,2025-10-01
