Student ID,Name,Program/Degree,Batch,transport_due,Due Date
TUCE1035,Madhavi Shetty,Computer Engineering,2024,15000,2025-10-01
TUCIV1006,Sreeja Nagesh,Civil Engineering,2024,15000,2025-10-01
TUCIV1022,Rakesh Menon,Civil Engineering,2024,15000,2025-10-01
TUCIV1032,Lakshya Sharma,Civil Engineering,2024,15000,2025-10-01
TUCIV1042,Mohan Menon,Civil Engineering,2024,15000,2025-10-01
TUCIV1047,Keerthi Acharya,Civil Engineering,2024,15000,2025-10-01
TUEC1014,Karthik Sharma,Electronics Engineering,2024,15000,2025-10-01
TUEC1035,Vijay Srinivas,Electronics Engineering,2024,15000,2025-10-01
TUEE1007,Sreeja Joshi,Electrical Engineering,2024,15000,2025-10-01
TUEE1022,Deepak Naidu,Electrical Engineering,2024,15000,2025-10-01
TUEE1033,Hema Acharya,Electrical Engineering,2024,15000,2025-10-01
TUEE1042,Harish Naidu,Electrical Engineering,2024,15000,2025-10-01
TUEE1048,Sneha Chowdary,Electrical Engineering,2024,15000,2025-10-01
TUME1010,Hema Nagesh,Mechanical Engineering,2024,15000,2025-10-01
TUME1034,Pooja Naidu,Mechanical Engineering,2024,15000,2025-10-01
