Student ID,Name,Program/Degree,Contact Info
TUCIV1005,Ajay Gowda,Civil Engineering,Ajay_Gowda@ssmcollege.co.in
TUCIV1033,Ajay Nagesh,Civil Engineering,Ajay_Nagesh@ssmcollege.co.in
TUCIV1035,Ajay Sharma,Civil Engineering,Ajay_Sharma@ssmcollege.co.in
TUCIV1004,Anil Reddy,Civil Engineering,Anil_Reddy@ssmcollege.co.in
TUCIV1015,Anjali Gowda,Civil Engineering,Anjali_Gowda@ssmcollege.co.in
TUCIV1001,Anu Rangaswamy,Civil Engineering,Anu_Rangaswamy@ssmcollege.co.in
TUCIV1050,Anu Srinivas,Civil Engineering,Anu_Srinivas@ssmcollege.co.in
TUCIV1030,Anu Sundaram,Civil Engineering,Anu_Sundaram@ssmcollege.co.in
TUCIV1016,Deepak Bhattacharya,Civil Engineering,Deepak_Bhattacharya@ssmcollege.co.in
TUCIV1007,Ganesh Nagesh,Civil Engineering,Ganesh_Nagesh@ssmcollege.co.in
TUCIV1013,Gayathri Rao,Civil Engineering,Gayathri_Rao@ssmcollege.co.in
TUCIV1038,Gowtham Sundaram,Civil Engineering,Gowtham_Sundaram@ssmcollege.co.in
TUCIV1025,Hema Nair,Civil Engineering,Hema_Nair@ssmcollege.co.in
TUCIV1026,Hema Rao,Civil Engineering,Hema_Rao@ssmcollege.co.in
TUCIV1003,Hema Reddy,Civil Engineering,Hema_Reddy@ssmcollege.co.in
TUCIV1028,Jyothi Murthy,Civil Engineering,Jyothi_Murthy@ssmcollege.co.in
TUCIV1036,Karthik Gowda,Civil Engineering,Karthik_Gowda@ssmcollege.co.in
TUCIV1044,Karthik Namboothiri,Civil Engineering,Karthik_Namboothiri@ssmcollege.co.in
TUCIV1047,Keerthi Acharya,Civil Engineering,Keerthi_Acharya@ssmcollege.co.in
TUCIV1009,Keerthi Sundaram,Civil Engineering,Keerthi_Sundaram@ssmcollege.co.in
TUCIV1012,Lakshya Iyer,Civil Engineering,Lakshya_Iyer@ssmcollege.co.in
TUCIV1019,Lakshya Naidu,Civil Engineering,Lakshya_Naidu@ssmcollege.co.in
TUCIV1032,Lakshya Sharma,Civil Engineering,Lakshya_Sharma@ssmcollege.co.in
TUCIV1039,Manoj Joshi,Civil Engineering,Manoj_Joshi@ssmcollege.co.in
TUCIV1037,Manoj Murthy,Civil Engineering,Manoj_Murthy@ssmcollege.co.in
TUCIV1014,Manoj Sharma,Civil Engineering,Manoj_Sharma@ssmcollege.co.in
TUCIV1042,Mohan Menon,Civil Engineering,Mohan_Menon@ssmcollege.co.in
TUCIV1020,Mohan Nair,Civil Engineering,Mohan_Nair@ssmcollege.co.in
TUCIV1040,Nandhini Shetty,Civil Engineering,Nandhini_Shetty@ssmcollege.co.in
TUCIV1017,Pooja Bhattacharya,Civil Engineering,Pooja_Bhattacharya@ssmcollege.co.in
TUCIV1023,Priya Srinivas,Civil Engineering,Priya_Srinivas@ssmcollege.co.in
TUCIV1022,Rakesh Menon,Civil Engineering,Rakesh_Menon@ssmcollege.co.in
TUCIV1041,Revathi Sharma,Civil Engineering,Revathi_Sharma@ssmcollege.co.in
TUCIV1048,Sangeetha Sharma,Civil Engineering,Sangeetha_Sharma@ssmcollege.co.in
TUCIV1002,Sanjay Chowdary,Civil Engineering,Sanjay_Chowdary@ssmcollege.co.in
TUCIV1045,Sathish Nagesh,Civil Engineering,Sathish_Nagesh@ssmcollege.co.in
TUCIV1010,Sathish Srinivas,Civil Engineering,Sathish_Srinivas@ssmcollege.co.in
TUCIV1008,Shilpa Shetty,Civil Engineering,Shilpa_Shetty@ssmcollege.co.in
TUCIV1021,Shilpa Srinivas,Civil Engineering,Shilpa_Srinivas@ssmcollege.co.in
TUCIV1031,Sreeja Bhattacharya,Civil Engineering,Sreeja_Bhattacharya@ssmcollege.co.in
TUCIV1006,Sreeja Nagesh,Civil Engineering,Sreeja_Nagesh@ssmcollege.co.in
TUCIV1027,Sreeja Reddy,Civil Engineering,Sreeja_Reddy@ssmcollege.co.in
TUCIV1046,Sruthi Pillai,Civil Engineering,Sruthi_Pillai@ssmcollege.co.in
TUCIV1049,Sruthi Rao,Civil Engineering,Sruthi_Rao@ssmcollege.co.in
TUCIV1024,Vasanth Rao,Civil Engineering,Vasanth_Rao@ssmcollege.co.in
TUCIV1011,Vasundhara Chowdary,Civil Engineering,Vasundhara_Chowdary@ssmcollege.co.in
TUCIV1043,Venkatesh Nair,Civil Engineering,Venkatesh_Nair@ssmcollege.co.in
TUCIV1029,Venkatesh Reddy,Civil Engineering,Venkatesh_Reddy@ssmcollege.co.in
TUCIV1034,Yamini Nair,Civil Engineering,Yamini_Nair@ssmcollege.co.in
TUCIV1018,Yamini Srinivas,Civil Engineering,Yamini_Srinivas@ssmcollege.co.in
TUCE1014,Ajay Sundaram,Computer Engineering,Ajay_Sundaram@ssmcollege.co.in
TUCE1050,Anil Rangaswamy,Computer Engineering,Anil_Rangaswamy@ssmcollege.co.in
TUCE1033,Anjali Rao,Computer Engineering,Anjali_Rao@ssmcollege.co.in
TUCE1009,Anu Joshi,Computer Engineering,Anu_Joshi@ssmcollege.co.in
TUCE1037,Bhavani Bhattacharya,Computer Engineering,Bhavani_Bhattacharya@ssmcollege.co.in
TUCE1047,Deepak Rangaswamy,Computer Engineering,Deepak_Rangaswamy@ssmcollege.co.in
TUCE1044,Deepak Sundaram,Computer Engineering,Deepak_Sundaram@ssmcollege.co.in
TUCE1015,Harini Menon,Computer Engineering,Harini_Menon@ssmcollege.co.in
TUCE1012,Hema Pillai,Computer Engineering,Hema_Pillai@ssmcollege.co.in
TUCE1036,Hema Rangaswamy,Computer Engineering,Hema_Rangaswamy@ssmcollege.co.in
TUCE1022,Janani Reddy,Computer Engineering,Janani_Reddy@ssmcollege.co.in
TUCE1017,Jyothi Nagesh,Computer Engineering,Jyothi_Nagesh@ssmcollege.co.in
TUCE1045,Karthik Bhattacharya,Computer Engineering,Karthik_Bhattacharya@ssmcollege.co.in
TUCE1010,Krishna Rangaswamy,Computer Engineering,Krishna_Rangaswamy@ssmcollege.co.in
TUCE1042,Kumar Joshi,Computer Engineering,Kumar_Joshi@ssmcollege.co.in
TUCE1013,Lakshya Srinivas,Computer Engineering,Lakshya_Srinivas@ssmcollege.co.in
TUCE1002,Madhavi Sharma,Computer Engineering,Madhavi_Sharma@ssmcollege.co.in
TUCE1035,Madhavi Shetty,Computer Engineering,Madhavi_Shetty@ssmcollege.co.in
TUCE1005,Manoj Iyer,Computer Engineering,Manoj_Iyer@ssmcollege.co.in
TUCE1031,Nandhini Iyer,Computer Engineering,Nandhini_Iyer@ssmcollege.co.in
TUCE1048,Nandhini Joshi,Computer Engineering,Nandhini_Joshi@ssmcollege.co.in
TUCE1007,Naveen Nagesh,Computer Engineering,Naveen_Nagesh@ssmcollege.co.in
TUCE1027,Nithya Joshi,Computer Engineering,Nithya_Joshi@ssmcollege.co.in
TUCE1001,Nithya Rangaswamy,Computer Engineering,Nithya_Rangaswamy@ssmcollege.co.in
TUCE1038,Pooja Nair,Computer Engineering,Pooja_Nair@ssmcollege.co.in
TUCE1016,Raghav Nair,Computer Engineering,Raghav_Nair@ssmcollege.co.in
TUCE1046,Rahul Sundaram,Computer Engineering,Rahul_Sundaram@ssmcollege.co.in
TUCE1021,Rajesh Pillai,Computer Engineering,Rajesh_Pillai@ssmcollege.co.in
TUCE1028,Rajesh Reddy,Computer Engineering,Rajesh_Reddy@ssmcollege.co.in
TUCE1019,Ramya Joshi,Computer Engineering,Ramya_Joshi@ssmcollege.co.in
TUCE1025,Ramya Naidu,Computer Engineering,Ramya_Naidu@ssmcollege.co.in
TUCE1006,Ramya Rangaswamy,Computer Engineering,Ramya_Rangaswamy@ssmcollege.co.in
TUCE1039,Revathi Nagesh,Computer Engineering,Revathi_Nagesh@ssmcollege.co.in
TUCE1041,Sathish Naidu,Computer Engineering,Sathish_Naidu@ssmcollege.co.in
TUCE1032,Shankar Iyer,Computer Engineering,Shankar_Iyer@ssmcollege.co.in
TUCE1003,Shankar Joshi,Computer Engineering,Shankar_Joshi@ssmcollege.co.in
TUCE1040,Shilpa Sharma,Computer Engineering,Shilpa_Sharma@ssmcollege.co.in
TUCE1023,Siva Nair,Computer Engineering,Siva_Nair@ssmcollege.co.in
TUCE1026,Siva Sharma,Computer Engineering,Siva_Sharma@ssmcollege.co.in
TUCE1034,Sneha Joshi,Computer Engineering,Sneha_Joshi@ssmcollege.co.in
TUCE1018,Sneha Menon,Computer Engineering,Sneha_Menon@ssmcollege.co.in
TUCE1024,Sneha Naidu,Computer Engineering,Sneha_Naidu@ssmcollege.co.in
TUCE1004,Sneha Nair,Computer Engineering,Sneha_Nair@ssmcollege.co.in
TUCE1020,Swathi Sharma,Computer Engineering,Swathi_Sharma@ssmcollege.co.in
TUCE1008,Vasundhara Shetty,Computer Engineering,Vasundhara_Shetty@ssmcollege.co.in
