Student ID,Name,Contact Info,Batch
TUCE21001,Prasanth Sai,Prasanth_Sai@ssmcollege.co.in,2017
TUCE21003,Prashanthi A,Prashanthi_A@ssmcollege.co.in,2017
TUCE21004,Pravalika N,Pravalika_N@ssmcollege.co.in,2017
TUCE21005,Preethi M,Preethi_M@ssmcollege.co.in,2017
TUCE21009,Prem Sai,Prem_Sai@ssmcollege.co.in,2017
TUCE21010,Priya Dharshini,Priya_Dharshini@ssmcollege.co.in,2017
TUCE21012,Priyanka Ivvala,Priyanka_Ivvala@ssmcollege.co.in,2017
TUCE21013,Pujitha Sai,Pujitha_Sai@ssmcollege.co.in,2017
TUCE21014,Pushpa Latha,Pushpa_Latha@ssmcollege.co.in,2017
TUCE21015,R Sridevi,R_Sridevi@ssmcollege.co.in,2017
TUCE21016,Raj Kumar,Raj_Kumar@ssmcollege.co.in,2017
TUCE21019,Rajeshwari P,Rajeshwari_P@ssmcollege.co.in,2017
TUCE21020,Rajeswari M,Rajeswari_M@ssmcollege.co.in,2017
TUCE21024,Rajiyasree J,Rajiyasree_J@ssmcollege.co.in,2017
TUCE21026,Rakesh Boddu,Rakesh_Boddu@ssmcollege.co.in,2017
TUCE21029,Rakshan B,Rakshan_B@ssmcollege.co.in,2017
TUCE21030,Ramprasad D,Ramprasad_D@ssmcollege.co.in,2017
TUCE21034,Ramya S,Ramya_S@ssmcollege.co.in,2017
TUCE21035,Ranjani K,Ranjani_K@ssmcollege.co.in,2017
TUCE21036,Ranjitha N,Ranjitha_N@ssmcollege.co.in,2017
TUCE21037,Rasagna C,Rasagna_C@ssmcollege.co.in,2017
TUCE21038,Ravali Ch,Ravali_Ch@ssmcollege.co.in,2017
TUCE21042,Ravi Teja P,Ravi_Teja_P@ssmcollege.co.in,2017
TUCE21047,Rithika V,Rithika_V@ssmcollege.co.in,2017
TUCE21049,Rithwik Reddy,Rithwik_Reddy@ssmcollege.co.in,2017
TUCE22251,Aditi Joshi,Aditi_Joshi@ssmcollege.co.in,2018
TUCE22254,Aditya Iyer,Aditya_Iyer@ssmcollege.co.in,2018
TUCE22262,Aditya Menon,Aditya_Menon@ssmcollege.co.in,2018
TUCE22263,Aditya Nair,Aditya_Nair@ssmcollege.co.in,2018
TUCE22255,Aditya Pillai,Aditya_Pillai@ssmcollege.co.in,2018
TUCE22253,Aditya Rangaswamy,Aditya_Rangaswamy@ssmcollege.co.in,2018
TUCE22259,Aditya Srinivas,Aditya_Srinivas@ssmcollege.co.in,2018
TUCE22260,Aditya Sundaram,Aditya_Sundaram@ssmcollege.co.in,2018
TUCE22265,Aishwarya Menon,Aishwarya_Menon@ssmcollege.co.in,2018
TUCE22264,Aishwarya Nagesh,Aishwarya_Nagesh@ssmcollege.co.in,2018
TUCE22269,Ajay Nair,Ajay_Nair@ssmcollege.co.in,2018
TUCE22266,Ajay Pillai,Ajay_Pillai@ssmcollege.co.in,2018
TUCE22270,Akash Nair,Akash_Nair@ssmcollege.co.in,2018
TUCE22274,Akhil Nagesh,Akhil_Nagesh@ssmcollege.co.in,2018
TUCE22276,Akhila Sharma,Akhila_Sharma@ssmcollege.co.in,2018
TUCE22279,Akshaya Naidu,Akshaya_Naidu@ssmcollege.co.in,2018
TUCE22280,Akshitha Joshi,Akshitha_Joshi@ssmcollege.co.in,2018
TUCE22286,Amit Bhattacharya,Amit_Bhattacharya@ssmcollege.co.in,2018
TUCE22284,Amit Chowdary,Amit_Chowdary@ssmcollege.co.in,2018
TUCE22287,Amit Rangaswamy,Amit_Rangaswamy@ssmcollege.co.in,2018
TUCE22285,Amit Sundaram,Amit_Sundaram@ssmcollege.co.in,2018
