Student ID,Name,Batch
TUME1001,Naveen Gowda,2024
TUME1002,Kumar Nagesh,2024
TUME1003,Mohan Reddy,2024
TUME1004,Krishna Nair,2024
TUME1005,Kumar Acharya,2024
TUME1006,Vijay Nair,2024
TUME1007,Keerthi Namboothiri,2024
TUME1008,Sreeja Sharma,2024
TUME1009,Nandhini Pillai,2024
TUME1010,Hema Nagesh,2024
TUME1011,Divya Joshi,2024
TUME1012,Jyothi Nair,2024
TUME1013,Karthik Joshi,2024
TUME1014,Sanjay Reddy,2024
TUME1015,Revathi Joshi,2024
TUME1016,Lakshmi Iyer,2024
TUME1017,Ajay Rangaswamy,2024
TUME1018,Rahul Bhattacharya,2024
TUME1019,Anu Venkatesh,2024
TUME1020,Lakshmi Chowdary,2024
TUME1021,Suresh Shetty,2024
TUME1022,Sangeetha Bhattacharya,2024
TUME1023,Krishna Murthy,2024
TUME1024,Pooja Venkatesh,2024
TUME1025,Devi Kumar,2024
TUME1026,Keerthi Srinivas,2024
TUME1027,Anu Rao,2024
TUME1028,Swathi Gowda,2024
TUME1029,Rahul Joshi,2024
TUME1030,Bhavani Venkatesh,2024
TUME1031,Ajay Reddy,2024
TUME1032,Prakash Srinivas,2024
TUME1033,Hari Kumar,2024
TUME1034,Pooja Naidu,2024
TUME1035,Prakash Kumar,2024
TUME1036,Krishna Kumar,2024
TUME1037,Lakshya Kumar,2024
TUME1038,Anil Rao,2024
TUME1039,Sneha Murthy,2024
TUME1040,Sangeetha Murthy,2024
TUME1041,Bhavani Srinivas,2024
TUME1042,Sneha Venkatesh,2024
TUME1043,Santosh Rangaswamy,2024
TUME1044,Hari Acharya,2024
TUME1045,Deepak Kumar,2024
TUME1046,Meena Menon,2024
TUME1047,Divya Pillai,2024
TUME1048,Naveen Pillai,2024
TUME1049,Pooja Menon,2024
TUME1050,Devi Rangaswamy,2024
TUME2002,Bhavani Nair,2023
TUME2003,Harini Kumar,2023
TUME2004,Swathi Pillai,2023
TUME2005,Ganesh Kumar,2023
