Student ID,Name,Amount Due
TUCE2011,Pooja Joshi,90000
TUCE2019,Sanjay Iyer,90000
TUCE2027,Ramya Sundaram,90000
TUCE2029,Rahul Nair,90000
TUCE2049,Manoj Venkatesh,90000
TUCIV2027,Pooja Reddy,90000
TUCIV2038,Suresh Joshi,90000
TUCIV2039,Suresh Menon,90000
TUCIV2045,Lakshya Rao,90000
TUEE2006,Rahul Venkatesh,90000
TUEE2034,Santosh Rao,90000
TUEE2048,Divya Rao,90000
TUEE2050,Keerthi Chowdary,90000
TUEC2014,Ramya Nair,90000
TUEC2015,Naveen Acharya,90000
TUEC2038,Anil Kumar,90000
TUEC2041,Vijay Sharma,90000
TUEC2044,Santosh Gowda,90000
TUME2007,Divya Venkatesh,90000
TUME2018,Ankit Sinha,90000
TUME2023,Tanvi Kapoor,90000
TUME2030,Gaurav Sinha,90000
TUME2039,Aryan Malhotra,90000
TUME2048,Aditi Jain,90000
TUCE3014,Mohit Patil,90000
TUCE3032,Divya Iyer,90000
TUCE3039,Pavan Malhotra,90000
TUCE3042,Rahul Rangaswamy,90000
TUCIV3037,Aarav Trivedi,90000
TUCIV3047,Shreya Joshi,90000
TUEE3015,Krishna Yadav,90000
TUEE3027,Zara Banerjee,90000
TUEE3035,Divya Mishra,90000
TUEC3011,Varun Iyer,90000
TUEC3022,Mohit Kapoor,90000
TUEC3028,Suraj Yadav,90000
TUEC3031,Varun Tiwari,90000
TUEC3036,Amit Mishra,90000
TUEC3050,Aditi Verma,90000
TUME3041,Avni Agarwal,90000
TUME3049,Aditya Trivedi,90000
