Student ID,Name,Room Number
TUME1003,Mohan Reddy,372
TUME1004,Krishna Nair,925
TUME1005,Kumar Acharya,946
TUME1007,Keerthi Namboothiri,727
TUME1008,Sreeja Sharma,177
TUME1009,Nandhini Pillai,753
TUME1011,Divya Joshi,939
TUME1012,Jyothi Nair,958
TUME1014,Sanjay Reddy,108
TUME1015,Revathi Joshi,703
TUME1019,Anu Venkatesh,367
TUME1022,Sangeetha Bhattacharya,203
TUME1023,Krishna Murthy,603
TUME1024,Pooja Venkatesh,321
TUME1025,Devi Kumar,789
TUME1026,Keerthi Srinivas,674
TUME1027,Anu Rao,421
TUME1029,Rahul Joshi,195
TUME1032,Prakash Srinivas,503
TUME1033,Hari Kumar,622
TUME1035,Prakash Kumar,631
TUME1036,Krishna Kumar,344
TUME1038,Anil Rao,445
TUME1039,Sneha Murthy,824
TUME1040,Sangeetha Murthy,143
TUME1042,Sneha Venkatesh,711
TUME1043,Santosh Rangaswamy,966
TUME1044,Hari Acharya,321
TUME1047,Divya Pillai,258
TUME1048,Naveen Pillai,953
TUME1049,Pooja Menon,720
