Faculty ID,Name,student_count
F5010,Dr. E. Reddy,1278
F5003,Prof. J. Patil,1278
F5008,Dr. S. Banerjee,1278
F5004,Prof. T. Chopra,1278
F5005,Dr. I. Agarwal,1278
F5002,Prof. F. Joshi,1278
F5000,Dr. C. Mathur,1178
F5007,Prof. P. Gupta,1178
F5015,Dr. M. Choudhury,1128
F5009,Prof. B. Singh,1058
F5011,Prof. L. Mehta,1052
F5012,Dr. O. Patel,1000
F5001,Dr. A. Desai,878
F5013,Dr. G. Iyer,871
F5014,Prof. H. Malhotra,837
F5017,Dr. K. Sharma,779
F5019,Prof. D. Kumar,749
F5018,Prof. R. Nair,712
F5016,Dr. Q. Shah,673
F5006,Prof. N. Das,617
