Student ID,Name,Marks,Course Title
TUCE4030,Prakash Sharma,41,M2
TUCIV24047,Dinesh Raju,31,Surveying
TUCE2008,Vasanth Kumar,49,Computer Networks
TUEE1031,Santosh Chowdary,39,M2
TUEC2036,Bhavani Murthy,15,M2
TUCE4016,Karan Pandey,37,OOP Lab
TUME2002,Bhavani Nair,29,M2
TUEE3007,Kavya Kapoor,22,M2
TUEC3025,Manish Banerjee,3,M2
TUEE2047,Meena Acharya,2,M2
TUCE3032,Divya Iyer,36,M2
TUCIV1040,Nandhini Shetty,36,Surveying
TUCE3039,Pavan Malhotra,41,Computer Networks
TUEE3010,Nikhil Menon,39,Electric Drives
