Student ID,Name,Fee Type,Amount Due
TUCE2027,Ramya Sundaram,Tuition,90000
TUCE2029,Rahul Nair,Tuition,90000
TUME1010,Hema Nagesh,Transport,15000
TUEC2038,Anil Kumar,Tuition,90000
TUME2039,Aryan Malhotra,Tuition,90000
TUCE3042,Rahul Rangaswamy,Tuition,90000
TUEC2044,Santosh Gowda,Tuition,90000
TUME2007,Divya Venkatesh,Tuition,90000
TUME2018,Ankit Sinha,Tuition,90000
TUEC2014,Ramya Nair,Tuition,90000
TUME2023,Tanvi Kapoor,Tuition,90000
TUCE3032,Divya Iyer,Tuition,90000
TUCE2019,Sanjay Iyer,Tuition,90000
TUCE3039,Pavan Malhotra,Tuition,90000
TUEC3036,Amit Mishra,Tuition,90000
TUEC3011,Varun Iyer,Tuition,90000
TUEC3022,Mohit Kapoor,Tuition,90000
TUEC3031,Varun Tiwari,Tuition,90000
TUME3041,Avni Agarwal,Tuition,90000
TUEC3050,Aditi Verma,Tuition,90000
TUME3049,Aditya Trivedi,Tuition,90000
TUME1034,Pooja Naidu,Transport,15000
TUCE3014,Mohit Patil,Tuition,90000
TUCE2011,Pooja Joshi,Tuition,90000
TUEC2041,Vijay Sharma,Tuition,90000
TUME2048,Aditi Jain,Tuition,90000
TUEC2015,Naveen Acharya,Tuition,90000
TUCE2049,Manoj Venkatesh,Tuition,90000
TUME2030,Gaurav Sinha,Tuition,90000
TUEC3028,Suraj Yadav,Tuition,90000
