Name,Marks
Suresh Rangaswamy,81
Meena Venkatesh,59
Anu Kumar,76
Nithya Nair,76
Lakshmi Murthy,84
Sangeetha Reddy,57
Manoj Kumar,78
Ganesh Chowdary,80
Santosh Bhattacharya,76
Vijay Kumar,84
Harish Nair,52
Priya Shetty,97
Santosh Rao,86
Lakshmi Rangaswamy,74
Divya Rangaswamy,85
Raghav Murthy,77
Prakash Pillai,79
Manoj Srinivas,79
Nithya Chowdary,89
Vasanth Bhattacharya,94
Santosh Venkatesh,87
Hari Rao,86
Raghav Reddy,62
Meena Acharya,15
Divya Rao,71
Manoj Acharya,80
Keerthi Chowdary,66
Lakshmi Venkatesh,74
Prakash Bhattacharya,98
Lakshmi Shetty,87
Bhavani Rao,64
Prakash Venkatesh,81
Rajesh Rangaswamy,90
Santosh Naidu,75
Anjali Nair,98
Vasanth Nair,84
Divya Kumar,60
Shilpa Venkatesh,60
Anil Pillai,84
Ramya Nair,87
Naveen Acharya,83
Karthik Sundaram,81
Manoj Rao,92
Anjali Kumar,90
Harish Kumar,97
Harish Srinivas,62
Suresh Kumar,70
Lakshmi Joshi,72
Sanjay Venkatesh,67
Naveen Venkatesh,63
Karthik Venkatesh,89
Meena Sundaram,69
Krishna Venkatesh,99
Ajay Acharya,68
Bhavani Murthy,83
Anu Murthy,86
Anil Kumar,89
Manoj Menon,87
Lakshya Venkatesh,99
Vijay Sharma,88
Ajay Iyer,71
Manoj Pillai,100
Santosh Gowda,61
Jyothi Sundaram,91
Anu Sharma,75
Sangeetha Acharya,93
Nithya Kumar,70
Ganesh Nair,63
Nithya Rao,83
Rajesh Kumar,91
Jyothi Srinivas,75
Rahul Venkatesh,28
Krishna Sharma,82
Priya Sundaram,94
Raghav Bhattacharya,71
Naveen Joshi,86
Swathi Chowdary,72
Sanjay Kumar,61
Pavan Gupta,74
Varun Jain,96
Vikram Malhotra,89
Deepika Choudhury,91
Kavya Kapoor,77
Riya Das,95
Mohit Banerjee,99
Nikhil Menon,82
Nikhil Sharma,60
Rajesh Singh,89
Rahul Choudhury,73
Krishna Yadav,85
Sanya Mehta,84
Shreya Yadav,74
Rahul Tiwari,80
Suraj Pandey,75
Amit Choudhury,71
Gaurav Malhotra,82
Zara Banerjee,81
Gaurav Patel,88
Arjun Mishra,61
Suraj Mehta,85
